age,age_squared,age_x_education,bag_age_mean,bag_age_range,bag_capital_gain_max,bag_capital_gain_mean,bag_capital_loss_max,bag_capital_loss_mean,bag_duration_mean,bag_education_mean,bag_education_range,bag_education_std,bag_has_capital_activity,bag_hours_mean,bag_hours_range,bag_hours_std,bag_member_count,bag_net_capital_max,bag_net_capital_mean,bag_size,bag_size_bag,bag_unique_occupations,bag_unique_relationships,bag_unique_workclass,capital_activity_flag,capital_gain,capital_loss,capital_per_hour,capital_ratio,education_num,education_target_enc,education_tier,has_capital_gain,has_capital_loss,hours_per_week,interview_mode,interviewer_id,log_capital_gain,log_capital_loss,log_net_capital_asset,marital_status,native_country_target_enc,net_capital_asset,net_capital_clean,occupation_target_enc,race_target_enc,relationship,sex,survey_duration_mins,workclass_target_enc,works_full_time,works_overtime,year_of_birth
47,2209,611,1952.0,29.0,0,0.0,1887,471.75,35.75,11.75,4.0,2.7537852736430515,1,41.0,33.0,14.742229591663989,4,0,-471.75,4,4,3,3,2,1,0,1887,0.0,0.0,13,1.121037667320979,2,0,1,40,0,1072,0.0,7.543273346705446,0.0,2,1.04414817336935,-1887,-1887,1.1871085788033822,0.9118460632926051,0,1,40,1.2113378085910274,1,0,1947
48,2304,480,1957.6666666666667,34.0,0,0.0,0,0.0,52.333333333333336,8.666666666666666,8.0,4.366539438350085,0,46.0,10.0,16.0,6,0,0.0,6,6,4,4,1,0,0,0,0.0,0.0,10,0.9939053399066965,1,0,0,40,0,1107,0.0,0.0,0.0,4,1.04414817336935,0,0,0.917267735257638,1.0528559545142508,1,0,55,1.0035770008935558,1,0,1946
42,1764,546,1959.25,30.0,0,0.0,0,0.0,45.75,11.5,5.0,3.0,0,41.0,25.0,12.935738607954836,4,0,0.0,4,4,3,2,3,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,45,0,1080,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0353847772695624,1.0528559545142508,0,1,46,1.0035770008935558,1,1,1952
55,3025,770,1952.6,26.0,0,0.0,0,0.0,52.8,11.2,3.0,2.16794833886788,0,40.4,12.0,3.6469165057620936,5,0,0.0,5,5,2,4,2,0,0,0,0.0,0.0,14,1.2170465072387975,2,0,0,40,0,1321,0.0,0.0,0.0,0,1.04414817336935,0,0,1.1871085788033822,1.0528559545142508,4,1,46,1.0035770008935558,1,0,1939
21,441,189,1955.4,13.0,0,0.0,1977,772.8,54.2,10.4,1.0,1.9493588689617927,1,42.0,13.0,7.58287544405155,5,0,-772.8,5,5,4,2,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,35,0,1238,0.0,0.0,0.0,4,1.04414817336935,0,0,0.9537323176926488,1.0528559545142508,1,1,36,1.0035770008935558,1,0,1973
34,1156,544,1957.1666666666667,25.0,0,0.0,0,0.0,42.0,10.0,9.0,3.286335345030997,0,42.166666666666664,35.0,9.13053485107344,6,0,0.0,6,6,5,4,3,0,0,0,0.0,0.0,16,1.3233321641437132,2,0,0,40,0,1322,0.0,0.0,0.0,4,0.8105593024047959,0,0,1.1555223960328442,1.0528559545142508,1,1,70,1.0035770008935558,1,0,1960
49,2401,588,1954.5,19.0,0,0.0,1902,475.5,43.25,9.0,5.0,2.449489742783178,1,40.0,20.0,0.0,4,0,-475.5,4,4,4,4,1,1,0,1902,0.0,0.0,12,1.0125546432438972,1,0,1,40,0,1012,0.0,7.551186867296149,0.0,2,1.04414817336935,-1902,-1902,1.0353847772695624,1.0528559545142508,5,0,41,1.0035770008935558,1,0,1945
28,784,252,1947.25,22.0,4386,1096.5,0,0.0,44.75,11.75,4.0,2.6299556396765835,1,50.25,10.0,8.180260794538684,4,4386,1096.5,4,4,3,2,1,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,51,0,1462,0.0,0.0,0.0,2,0.8894141389009835,0,0,1.0353847772695624,1.0528559545142508,0,1,65,1.0035770008935558,1,1,1966
60,3600,540,1955.4,30.0,0,0.0,0,0.0,49.4,11.4,5.0,3.0495901363953815,0,34.8,25.0,17.640861656959956,5,0,0.0,5,5,4,3,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,8,0,1068,0.0,0.0,0.0,2,1.04414817336935,0,0,0.917267735257638,1.0528559545142508,5,0,63,1.186144250090894,0,0,1934
35,1225,315,1962.6,35.0,0,0.0,0,0.0,39.2,9.6,8.0,3.5071355833500366,0,35.0,0.0,8.660254037844387,5,0,0.0,5,5,5,3,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,40,0,1484,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0089112159421618,1.0528559545142508,1,1,33,1.0035770008935558,1,0,1959
