age,age_squared,age_x_education,bag_age_mean,bag_age_range,bag_capital_activity_ratio,bag_capital_gain_max,bag_capital_gain_mean,bag_capital_gain_std,bag_capital_loss_max,bag_capital_loss_mean,bag_capital_loss_std,bag_duration_mean,bag_education_mean,bag_education_range,bag_education_std,bag_full_time_ratio,bag_has_capital_activity,bag_high_ed_ratio,bag_hours_mean,bag_hours_range,bag_hours_std,bag_low_ed_ratio,bag_member_count,bag_net_capital_max,bag_net_capital_mean,bag_senior_ratio,bag_size,bag_size_bag,bag_unemployed_ratio,bag_unique_occupations,bag_unique_relationships,bag_unique_workclass,bag_young_ratio,capital_activity_flag,capital_both,capital_cv,capital_dominance,capital_gain,capital_loss,capital_per_capita,capital_per_hour,capital_ratio,capital_vs_bag,dependency_ratio,education_num,education_target_enc,education_tier,education_vs_bag,education_vs_bag_max,education_x_occupation,education_x_workclass,has_capital_gain,has_capital_loss,hours_inequality,hours_per_ed,hours_per_week,interview_mode,interviewer_id,is_primary_earner,log_capital_gain,log_capital_loss,log_net_capital_asset,low_ed_low_hours,marital_status,native_country_target_enc,negative_net_capital,net_capital_asset,net_capital_clean,no_capital_low_ed,occupation_target_enc,race_target_enc,relationship,sex,survey_duration_mins,workclass_target_enc,works_full_time,works_overtime,year_of_birth,young_low_ed
47,2209,611,1952.0,29.0,0.25,0,0.0,0.0,1887,471.75,943.5,35.75,11.75,4.0,2.7537852736430515,0.75,1,0.5,41.0,33.0,14.742229591663989,0.25,4,0,-471.75,0.0,4,4,0.0,3,3,2,0.0,1,0,0.0,0.0,0,1887,0.0,0.0,0.0,0.0,1.0,13,1.121037667320979,2,1.25,-1.5037852736430515,15.432411524443967,15.747391511683356,0,1,0.3510054664681902,2.857142857142857,40,0,1072,1,0.0,7.543273346705446,0.0,0,2,1.04414817336935,1,-1887,-1887,0,1.1871085788033822,0.9118460632926051,0,1,40,1.2113378085910274,1,0,1947,0
48,2304,480,1957.6666666666667,34.0,0.0,0,0.0,0.0,0,0.0,0.0,52.333333333333336,8.666666666666666,8.0,4.366539438350085,0.8333333333333334,0,0.16666666666666666,46.0,10.0,16.0,0.3333333333333333,6,0,0.0,0.0,6,6,0.0,4,4,1,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,10,0.9939053399066965,1,1.333333333333334,-3.0332061050167507,9.17267735257638,10.035770008935557,0,0,0.3404255319148936,3.6363636363636362,40,0,1107,1,0.0,0.0,0.0,0,4,1.04414817336935,0,0,0,0,0.917267735257638,1.0528559545142508,1,0,55,1.0035770008935558,1,0,1946,0
42,1764,546,1959.25,30.0,0.0,0,0.0,0.0,0,0.0,0.0,45.75,11.5,5.0,3.0,0.75,0,0.75,41.0,25.0,12.935738607954836,0.25,4,0,0.0,0.0,4,4,0.0,3,2,3,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,13,1.121037667320979,2,1.5,-1.5,13.46000210450431,13.046501011616225,0,0,0.307993776379877,3.2142857142857144,45,0,1080,1,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.0353847772695624,1.0528559545142508,0,1,46,1.0035770008935558,1,1,1952,0
55,3025,770,1952.6,26.0,0.0,0,0.0,0.0,0,0.0,0.0,52.8,11.2,3.0,2.16794833886788,1.0,0,0.4,40.4,12.0,3.6469165057620936,0.2,5,0,0.0,0.0,5,5,0.0,2,4,2,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.8333333333333334,14,1.2170465072387975,2,2.8000000000000007,0.6320516611321207,16.61952010324735,14.050078012509783,0,0,0.08808977067058198,2.6666666666666665,40,0,1321,1,0.0,0.0,0.0,0,0,1.04414817336935,0,0,0,0,1.1871085788033822,1.0528559545142508,4,1,46,1.0035770008935558,1,0,1939,0
21,441,189,1955.4,13.0,0.4,0,0.0,0.0,1977,772.8,1058.67827974319,54.2,10.4,1.0,1.9493588689617927,1.0,1,0.2,42.0,13.0,7.58287544405155,0.6,5,0,-772.8,0.0,5,5,0.0,4,2,2,0.2,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.8333333333333334,9,0.9838673729142733,1,-1.4000000000000004,-3.349358868961793,8.583590859233839,9.032193008042002,0,0,0.17634594055933836,3.5,35,0,1238,1,0.0,0.0,0.0,0,4,1.04414817336935,0,0,0,0,0.9537323176926488,1.0528559545142508,1,1,36,1.0035770008935558,1,0,1973,0
34,1156,544,1957.1666666666667,25.0,0.0,0,0.0,0.0,0,0.0,0.0,42.0,10.0,9.0,3.286335345030997,0.8333333333333334,0,0.16666666666666666,42.166666666666664,35.0,9.13053485107344,0.5,6,0,0.0,0.0,6,6,0.0,5,4,3,0.16666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,16,1.3233321641437132,2,6.0,2.713664654969003,18.488358336525508,16.057232014296893,0,0,0.2115181818781492,2.3529411764705883,40,0,1322,1,0.0,0.0,0.0,0,4,0.8105593024047959,0,0,0,0,1.1555223960328442,1.0528559545142508,1,1,70,1.0035770008935558,1,0,1960,0
49,2401,588,1954.5,19.0,0.25,0,0.0,0.0,1902,475.5,951.0,43.25,9.0,5.0,2.449489742783178,1.0,1,0.0,40.0,20.0,0.0,0.5,4,0,-475.5,0.0,4,4,0.0,4,4,1,0.25,1,0,0.0,0.0,0,1902,0.0,0.0,0.0,0.0,0.8,12,1.0125546432438972,1,3.0,0.5505102572168221,12.424617327234749,12.04292401072267,0,1,0.0,3.076923076923077,40,0,1012,1,0.0,7.551186867296149,0.0,0,2,1.04414817336935,1,-1902,-1902,0,1.0353847772695624,1.0528559545142508,5,0,41,1.0035770008935558,1,0,1945,0
28,784,252,1947.25,22.0,0.25,4386,1096.5,2193.0,0,0.0,0.0,44.75,11.75,4.0,2.6299556396765835,1.0,1,0.5,50.25,10.0,8.180260794538684,0.25,4,4386,1096.5,0.25,4,4,0.0,3,2,1,0.25,0,0,1.9981776765375854,3.9963553530751708,0,0,274.125,0.0,0.0,-1096.5,0.8,9,0.9838673729142733,1,-2.75,-5.3799556396765835,9.318462995426062,9.032193008042002,0,0,0.15961484477148652,5.1,51,0,1462,0,0.0,0.0,0.0,0,2,0.8894141389009835,0,0,0,0,1.0353847772695624,1.0528559545142508,0,1,65,1.0035770008935558,1,1,1966,0
60,3600,540,1955.4,30.0,0.0,0,0.0,0.0,0,0.0,0.0,49.4,11.4,5.0,3.0495901363953815,0.6,0,0.4,34.8,25.0,17.640861656959956,0.4,5,0,0.0,0.2,5,5,0.0,4,3,2,0.2,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.25,9,0.9838673729142733,1,-2.4000000000000004,-5.449590136395382,8.255409617318742,10.675298250818047,0,0,0.49276149879776415,0.8,8,0,1068,1,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,0.917267735257638,1.0528559545142508,5,0,63,1.186144250090894,0,0,1934,0
35,1225,315,1962.6,35.0,0.0,0,0.0,0.0,0,0.0,0.0,39.2,9.6,8.0,3.5071355833500366,0.8,0,0.2,35.0,0.0,8.660254037844387,0.4,5,0,0.0,0.0,5,5,0.0,5,3,2,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,9,0.9838673729142733,1,-0.5999999999999996,-4.107135583350036,9.080200943479456,9.032193008042002,0,0,0.2405626121623441,4.0,40,0,1484,1,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.0089112159421618,1.0528559545142508,1,1,33,1.0035770008935558,1,0,1959,0
